level,pdps,fidps,frdps,radius,cd,pvar,shield,manacost
1,0,0,0,0,5,0,5,25
2,0,0,0,0,4.95,0,5.15,25
3,0,0,0,0,4.9,0,5.3,25
4,0,0,0,0,4.85,0,5.45,25
5,0,0,0,0,4.8,0,5.6,25
6,0,0,0,0,4.75,0,5.75,25
7,0,0,0,0,4.7,0,5.9,25
8,0,0,0,0,4.65,0,6.05,25
9,0,0,0,0,4.6,0,6.2,25
10,0,0,0,0,4.55,0,6.35,25
11,0,0,0,0,4.5,0,6.5,25
12,0,0,0,0,4.45,0,6.65,25
13,0,0,0,0,4.4,0,6.8,25
14,0,0,0,0,4.35,0,6.95,25
15,0,0,0,0,4.3,0,7.1,25
16,0,0,0,0,4.25,0,7.25,25
17,0,0,0,0,4.2,0,7.4,25
18,0,0,0,0,4.15,0,7.55,25
19,0,0,0,0,4.1,0,7.7,25
20,0,0,0,0,4.05,0,7.85,25
21,0,0,0,0,4,0,8,25
22,0,0,0,0,3.95,0,8.15,25
23,0,0,0,0,3.9,0,8.3,25
24,0,0,0,0,3.85,0,8.45,25
25,0,0,0,0,3.8,0,8.6,25
26,0,0,0,0,3.75,0,8.75,25
27,0,0,0,0,3.7,0,8.9,25
28,0,0,0,0,3.65,0,9.05,25
29,0,0,0,0,3.6,0,9.2,25
30,0,0,0,0,3.55,0,9.35,25
31,0,0,0,0,3.5,0,9.5,25
32,0,0,0,0,3.45,0,9.65,25
33,0,0,0,0,3.4,0,9.8,25
34,0,0,0,0,3.35,0,9.95,25
35,0,0,0,0,3.3,0,10.1,25
36,0,0,0,0,3.25,0,10.25,25
37,0,0,0,0,3.2,0,10.4,25
38,0,0,0,0,3.15,0,10.55,25
39,0,0,0,0,3.1,0,10.7,25
40,0,0,0,0,3.05,0,10.85,25
41,0,0,0,0,3,0,11,25
42,0,0,0,0,2.95,0,11.15,25
43,0,0,0,0,2.9,0,11.3,25
44,0,0,0,0,2.85,0,11.45,25
45,0,0,0,0,2.8,0,11.6,25
46,0,0,0,0,2.75,0,11.75,25
47,0,0,0,0,2.7,0,11.9,25
48,0,0,0,0,2.65,0,12.05,25
49,0,0,0,0,2.6,0,12.2,25
50,0,0,0,0,2.55,0,12.35,25
